"n","Id","Name","Period","dim_IC_low","dim_ideology","dim_IC_high","wnom_ideology","bay_ic_low","bay_ideology","bay_ic_high","quant_parties","party_1","party_2","party_3","party_4","Sex","Birth_date"
"1",74,"Jaime Naranjo Ortiz","Periodo_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1951-01-12T00:00:00"
"2",74,"Jaime Naranjo Ortiz","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1951-01-12T00:00:00"
"3",74,"Jaime Naranjo Ortiz","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1951-01-12T00:00:00"
"4",74,"Jaime Naranjo Ortiz","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1951-01-12T00:00:00"
"5",74,"Jaime Naranjo Ortiz","Periodo_5",-0.668336246703293,-0.638761040942748,-0.609185835182204,-0.659219980239868,-0.676354548635916,-0.720716509444946,-0.781002000825575,1,"PS",NA,NA,NA,"Masculino","1951-01-12T00:00:00"
"6",74,"Jaime Naranjo Ortiz","Periodo_6",-1.0716499048619,-1.10001903172824,-1.12838815859458,-0.705552995204926,-0.813728470406168,-0.777243215931699,-0.739332735599183,1,"PS",NA,NA,NA,"Masculino","1951-01-12T00:00:00"
"7",132,"Francisco Bayo Veloso","Periodo_1",0.0047332888115987,-0.0325295096401217,-0.0697923080918421,0.487322628498077,0.417658420475803,0.452789520572234,0.502501500702292,1,"RN",NA,NA,NA,"Masculino","1933-03-13T00:00:00"
"8",132,"Francisco Bayo Veloso","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1933-03-13T00:00:00"
"9",132,"Francisco Bayo Veloso","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1933-03-13T00:00:00"
"10",132,"Francisco Bayo Veloso","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1933-03-13T00:00:00"
"11",132,"Francisco Bayo Veloso","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1933-03-13T00:00:00"
"12",132,"Francisco Bayo Veloso","Periodo_6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Masculino","1933-03-13T00:00:00"
"13",137,"Eliana Caraball Martínez","Periodo_1",-0.751567333808398,-0.788830132260118,-0.826092930711838,-0.829883754253387,-0.715466386930866,-0.675223685246311,-0.627342029086961,1,"DC",NA,NA,NA,"Femenino","1937-04-27T00:00:00"
"14",137,"Eliana Caraball Martínez","Periodo_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1937-04-27T00:00:00"
"15",137,"Eliana Caraball Martínez","Periodo_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1937-04-27T00:00:00"
"16",137,"Eliana Caraball Martínez","Periodo_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1937-04-27T00:00:00"
"17",137,"Eliana Caraball Martínez","Periodo_5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Femenino","1937-04-27T00:00:00"
