"AplicaInversion","ideologia_a","ideologia_b","correlacion"
TRUE,"Ideologia_879","Ideologia_897",0.999998866464736
TRUE,"Ideologia_879","Ideologia_865",0.999999293183929
TRUE,"Ideologia_879","Ideologia_855",0.999998653276045
TRUE,"Ideologia_879","Ideologia_811",0.999998689553062
TRUE,"Ideologia_879","Ideologia_850",0.999999244403906
TRUE,"Ideologia_879","Ideologia_908",0.999999310914199
TRUE,"Ideologia_897","Ideologia_865",0.999998729580491
TRUE,"Ideologia_897","Ideologia_855",0.999999438609939
TRUE,"Ideologia_897","Ideologia_811",0.999999196823243
TRUE,"Ideologia_897","Ideologia_850",0.999998617095607
TRUE,"Ideologia_897","Ideologia_908",0.999997966314552
TRUE,"Ideologia_865","Ideologia_855",0.999998502524622
TRUE,"Ideologia_865","Ideologia_811",0.999999204463105
TRUE,"Ideologia_865","Ideologia_850",0.999999810545274
TRUE,"Ideologia_865","Ideologia_908",0.999999472410701
TRUE,"Ideologia_855","Ideologia_811",0.999998899851249
TRUE,"Ideologia_855","Ideologia_850",0.999998004805334
TRUE,"Ideologia_855","Ideologia_908",0.999997526522936
TRUE,"Ideologia_811","Ideologia_850",0.999999260576886
TRUE,"Ideologia_811","Ideologia_908",0.999998866146634
TRUE,"Ideologia_850","Ideologia_908",0.999999595391357
